City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
18,Hobart,AU,73.0,broken clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
19,Goulburn,AU,73.99,broken clouds,-34.75,149.72,Alpine Heritage Motel
23,Cabo San Lucas,MX,73.99,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
34,Belmonte,BR,71.6,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
40,Puerto Ayora,EC,69.53,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
46,Vilhena,BR,73.13,broken clouds,-12.74,-60.15,Hotel Mirage
52,Babati,TZ,68.41,broken clouds,-4.22,35.75,White Rose Lodge
58,Santa Isabel Do Rio Negro,BR,73.78,overcast clouds,-0.41,-65.02,Hotel GSA
60,Grootfontein,,72.63,clear sky,-19.57,18.12,Meteor Travel Inn
63,Rikitea,PF,73.99,overcast clouds,-23.12,-134.97,Pension Maro'i
64,New Norfolk,AU,72.0,overcast clouds,-42.78,147.06,The Shingles Riverside Cottages
116,Mattru,SL,73.36,clear sky,7.62,-11.83,"Mondkor Town, Bagbo Chiefdom, Bo District"
120,Rio Grande,BR,70.0,clear sky,-32.03,-52.1,Hotel Atlântico Rio Grande
122,Arraial Do Cabo,BR,72.77,broken clouds,-22.97,-42.03,Pousada Porto Praia
141,Rajgarh,IN,71.31,overcast clouds,28.63,75.38,Gangster Life Rajgarh Aala Ki
142,Paraiso,CR,70.0,mist,9.84,-83.87,Rinconcito Verde
143,Prainha,BR,73.92,scattered clouds,-1.8,-53.48,Hotel Brasília
158,Barra Do Garcas,BR,71.01,clear sky,-15.89,-52.26,Hotel Pousada Tropical
166,Carora,VE,73.36,overcast clouds,10.18,-70.08,Hotel Irpinia
178,Puerto Del Rosario,ES,69.8,clear sky,28.5,-13.86,Hotel JM Puerto del Rosario
194,Miranda,CO,73.4,scattered clouds,3.25,-76.23,Parqueadero toño lasso
195,Chitungwiza,ZW,73.0,overcast clouds,-18.01,31.08,Damview Hotel
204,Caravelas,BR,73.24,scattered clouds,-17.71,-39.25,Pousada dos Navegantes
210,Zemio,CF,69.84,overcast clouds,5.03,25.14,OCHA Office
218,San Patricio,US,73.0,broken clouds,28.02,-97.52,"Motel 6 Sinton, TX"
219,Varadero,CU,73.4,scattered clouds,23.15,-81.25,Hotel Tuxpan Varadero
246,Ulladulla,AU,73.4,scattered clouds,-35.35,150.47,Sandpiper Motel
247,Sao Mateus,BR,67.98,broken clouds,-18.72,-39.86,Hotel Rio Norte
256,Naze,JP,71.6,broken clouds,28.37,129.48,奄美ポートタワーホテル
257,Cidreira,BR,70.11,few clouds,-30.18,-50.21,Hotel Castelo
258,Chazuta,PE,72.21,overcast clouds,-6.57,-76.14,Fundo El Porvenir
267,Mitu,CO,70.88,light rain,1.2,-70.17,
268,San Cristobal,VE,66.09,scattered clouds,7.77,-72.22,Pirineos
270,Boende,CD,70.61,overcast clouds,-0.22,20.87,
274,Sao Joao Da Barra,BR,70.61,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
277,Turbat,PK,74.77,light rain,26.0,63.04,Mubashar Quarters
283,Nelson Bay,AU,72.0,scattered clouds,-32.72,152.15,Mantra Nelson Bay
284,Vila Velha,BR,70.0,clear sky,-20.33,-40.29,Hotel Vitória Palace
286,Kitui,KE,69.21,broken clouds,-1.37,38.01,Heritage Bliss Hotel
291,Kyabe,TD,71.42,broken clouds,9.45,18.94,
304,Aragarcas,BR,70.93,clear sky,-15.9,-52.25,Hotel Pousada Tropical
311,Ballina,AU,73.4,overcast clouds,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
324,Mar Del Plata,AR,66.99,heavy intensity rain,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
334,El Terrero,HN,68.0,drizzle,14.07,-87.07,Uyuca Vista Guest House
339,Mugumu,TZ,68.31,clear sky,-1.85,34.7,Lemala Mara
345,Laureles,US,75.0,broken clouds,26.11,-97.49,Los Fresnos Inn
348,Atar,MR,66.49,broken clouds,20.52,-13.05,Oumou Elghoura
353,Fougamou,GA,72.59,overcast clouds,-1.22,10.58,Résidence d'Hôtes Bapedy
355,Djibo,BF,66.4,clear sky,14.1,-1.63,Centre Des Ressources DPENA
357,Masingbi,SL,71.74,clear sky,8.78,-11.95,
368,Namibe,AO,66.7,overcast clouds,-15.2,12.15,Hotel Chik Chik Namibe
377,Jacareacanga,BR,73.22,scattered clouds,-6.22,-57.75,Casa do Ian😎
384,Piranhas,BR,70.65,light rain,-16.43,-51.82,Hotel Brasil
389,Kalengwa,ZM,67.55,overcast clouds,-13.47,25.0,
398,Bandundu,CD,69.31,overcast clouds,-3.32,17.37,Coja Color
406,Manicore,BR,74.41,heavy intensity rain,-5.81,-61.3,Pousada da wanda
409,San Vicente,AR,68.02,clear sky,-26.62,-54.13,Complejo Turístico Farelluk
410,Manyana,BW,69.15,clear sky,-23.4,21.72,
418,Tekari,IN,68.0,haze,24.93,84.83,Fast Food
422,Tignere,CM,65.53,overcast clouds,7.37,12.65,SADECK
437,Guaira,BR,70.77,few clouds,-20.32,-48.31,Hotel do Lago
447,Sao Geraldo Do Araguaia,BR,72.79,clear sky,-6.4,-48.55,Hotel Por do Sol
462,Bulawayo,ZW,70.95,overcast clouds,-20.15,28.58,4 On Housman Backpackers
465,Mount Gambier,AU,69.8,overcast clouds,-37.83,140.77,Commodore on the Park
471,Eldorado,BR,70.74,clear sky,-23.79,-54.28,Villa Verde Hotel
478,Kundgol,IN,73.4,scattered clouds,15.25,75.25,Shri Basavannajjanavar Kalyan Mantap
495,Lukulu,ZM,69.48,moderate rain,-14.37,23.24,Ruth Guest House
502,Calabozo,VE,73.78,few clouds,8.92,-67.43,Hotel Giardini
507,San Luis,AR,70.02,light rain,-33.3,-66.34,Huarpes Hotel
518,Fortuna Foothills,US,66.2,clear sky,32.66,-114.41,Fortuna De Oro RV Park
523,Apac,UG,70.2,broken clouds,1.98,32.54,Double Duez Apac
525,Yei,SS,70.97,broken clouds,4.09,30.68,City Link Hotel
528,Zwedru,LR,71.11,broken clouds,6.07,-8.13,Elijah Worjloh
531,Mangan,IN,69.67,clear sky,27.52,88.53,Hotel Mout View
536,Cayenne,GF,73.4,clear sky,4.93,-52.33,Hôtel Le Dronmi
538,Arrecife,ES,66.2,clear sky,28.96,-13.55,Hotel Lancelot
544,Inongo,CD,69.93,light rain,-1.95,18.27,Hotel Du Lac
549,Kaele,CM,71.65,broken clouds,10.11,14.45,Hotel Du Centre
553,Los Llanos De Aridane,ES,71.6,clear sky,28.66,-17.92,Valle Aridane
565,Leticia,CO,71.6,scattered clouds,-4.22,-69.94,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
570,Castanos,MX,69.01,clear sky,26.78,-101.42,Bomberos voluntarios castaños coahuila
574,Bull Savanna,JM,74.59,overcast clouds,17.89,-77.59,Big Red's
580,Liwale,TZ,73.96,broken clouds,-9.77,37.93,Samoma Lodge
587,Achi,CO,74.62,light rain,8.57,-74.55,Hotel Sahar
610,Saurimo,AO,65.03,overcast clouds,-9.66,20.39,Hotel Kawissa Saurimo
611,Ojinaga,MX,73.4,clear sky,29.57,-104.42,Suites Las Palmas
644,Sokolo,ML,65.41,clear sky,14.73,-6.12,
645,San Pedro Del Parana,PY,72.63,clear sky,-26.83,-56.2,Comedor SAN GABRIEL
651,Altamira,BR,72.54,scattered clouds,-3.2,-52.21,Requinte Hotel
662,Kasempa,ZM,67.8,moderate rain,-13.46,25.83,Jipumpu Guest House
693,Omboue,GA,74.93,light rain,-1.57,9.26,Hotel Olako
697,Kangaba,ML,66.7,clear sky,11.93,-8.42,Hôtel Mandé
701,Entre Rios,BR,69.13,few clouds,-11.94,-38.08,Jambalaya Pousada
707,Kouroussa,GN,66.15,clear sky,10.65,-9.88,Hotel Tando Plus
710,Phek,IN,66.2,broken clouds,25.67,94.5,Prayer Centre
711,Itoman,JP,73.4,broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
713,Doka,SD,72.48,few clouds,13.52,35.77,
717,Abapo,BO,69.46,broken clouds,-18.83,-63.47,
718,Puerto Leguizamo,CO,70.75,broken clouds,-0.19,-74.78,la casona de juancho
719,Gambo,CF,69.49,overcast clouds,4.65,22.26,
720,Sao Felix Do Xingu,BR,70.97,scattered clouds,-6.64,-51.99,Apart Hotel Rio Xingu
721,Conceicao Do Araguaia,BR,72.81,scattered clouds,-8.26,-49.26,Tarumã Tropical Hotel
